species,Anuta,Bellona,Choiseul,Guadalcanal,Kolombangara,Makira,Malaita,Malaupaina,Matema,Mbanika,New Georgia,NEW GEORGIA IS.,NGGELA IS.,Nggela Sule,Nupani,OLU MALAU IS.,Ontong Java Is.,Owaraha,REEF IS.,Rendova,Rennell,Russell Is.,San Jorge,Santa Catalina,Santa Cruz,SANTA CRUZ IS.,Santa Isabel,Savo,Shortland,Sikaiana,Tikopia,Tulagi,Ugi,Vangunu,Vanikoro,Vella Lavella,SOLOMON IS.
M. sp. BP01* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. sp. BP03* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nylanderia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. bourbonica x x x 3,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
N. braueri glabrior x x x x 4,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
N. dichroa x x x x x x x x x 9,,,1,1,1,1,1,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,
N. manni x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. bismarckensis x x x 3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
N. stigmatica x x x x x x x 7,,,,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
N. vaga x x x x x x x x x x x x x x x 15,1,1,,1,1,1,,,1,,,,,,1,,,,1,,1,,,1,,1,1,1,,1,,,1,,,,
N. vividula x x x 3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ochetellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. glaber x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odontomachus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. malignus x x x x x x x 6,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,1
O. rufithorax x x x x x 4,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1
O. saevissimus x x x 2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
O. simillimus x x x x x x x x x x x x x x x x x x x x x x x x x x x x 27,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,,1,1,,,1,1,1,1,,,1,1,1,1,1,,1
Oecophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. subnitida x x x x x x x x x x x x x 13,,,,1,,1,1,1,,,,,1,1,,1,,1,,,,1,,,,,1,1,,,,1,1,,,,
Opisthopsis 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. manni x x x x x x 6,,,,1,,1,1,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
Pachycondyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. acuta x x 1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
P. aequalis x x x x x 4,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
P. croceicornis x x x x 3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
P. darwinii x 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
P. exarata x x x 3,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,
P. manni x x x 2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
P. melancholica x 1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
P. papuana x x x 2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
P. sheldoni x x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
P. stigma x x x x x x x x x x x x x x 13,,,,1,,1,1,,,,1,1,1,1,,,,,,,1,,,,1,1,1,,,,,1,1,,,,1
P. sp. BP01 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraparatrechina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. minutula x x x x x x 6,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,
Paratrechina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. longicornis x x x x x x x x x x 10,,1,1,1,,1,1,,,,,1,,,,,,1,,,1,,,,1,1,,,,,,,,,,,
Pheidole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. belli x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. erato x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. fuscula x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. isis x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. taki x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. megacephala x x x x x x x x x 8,1,,,1,,,1,,1,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,1
P. mendanai x 1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. nindi x x x x 4,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
P. oceanica,,1,,1,,1,1,1,,,,,,,,1,,,,,1,,,,1,1,1,,,,,,1,,,,
P. philemon x x x x x x x x 7,,,,1,,1,1,1,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1
P. sexspinosa x x x x x x x x x x 10,,1,,1,,1,1,,,,,,1,,,,,,,,1,,,,1,1,1,,,,,1,,,,,
P. fuscescens x x 2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
P. umbonata x x x x x x 6,,1,,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
P. sp. BP02* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP09 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP10 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP11 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP12* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP13* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Philidris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. myrmecodiae x x x x x x x x x x x x x 13,,1,,1,,1,1,,,,,,1,1,,1,,1,,,1,,,,1,1,1,,,,,,1,,,,
Plagiolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. alluaudi x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platythyrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. parallela x x x 2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1
P. sp. BP01* x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Podomyrma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. salomo x x x x 4,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,
P. woodfordi x x 2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Polyrhachis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. andromache x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. annae x x x x x x x x x x 10,,1,,1,,1,,1,1,,,,,,,1,,,1,,1,,,,1,1,,,,,,,,,,,
P. acutinota x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. argentea,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
P. brunneipes x x 1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. campbelli x x 2,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
P. dahlii x x x x x x x x x 8,,,,1,,1,1,1,,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,,1
P. emeryana x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. fulakora x x 2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. geminata x x x 3,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
P. greensladei x x 2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
P. ithona x x 2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
P. johnsoni x x x x 4,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
P. kaipi x x x x 4,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
P. litigiosa x x 2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. malaensis x 1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. nofra x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. osae x x x x 3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
P. pacifica x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. rere x x x 3,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
P. salomo x x x x 3,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
P. santschii x x 2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
P. setosa x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. similis x x x x x x x x x 9,,,,,,1,,,,,1,1,1,1,,,,,,,,1,,,,,1,,,,,1,1,,,,
P. ugiensis x x x 3,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
P. ulysses x x x x 3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,1
P. undulata x x 2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. wheeleri x x 2,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
P. sp. BP01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP03 x 1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
P. sp. BP04 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. clavicornis x x x x x x x x x x x x 12,,,1,1,,1,1,,,,,1,1,1,,,,,1,1,1,,,,,,1,1,,,,,,,,,
P. incerta x x x x x x x x 7,,,,1,,1,,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,1
P. swezeyi x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. szaboi x x 2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
P. tenuis x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP01 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. sp. BP02 x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prionopelta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. majuscula x x x 3,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. opaca x x x x x x x x x x x 11,,1,,1,1,1,,,,,1,1,1,,,,,,,,1,,,,,,,1,1,,,,,,,1,
Pristomyrmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. levigatus x x x 3,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
P. obesus x x x x x x x x x x 10,,,,1,,1,1,1,,,1,1,,,,1,,,,,,,,,1,1,1,,,,,,,,,,
Probolomyrmex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. salomonis x x x 2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Proceratium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. austronesicum x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. papuanum x x x x 4,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,,,
Rhytidoponera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. araneoides x x x x x x x x x x x 10,,,,1,,1,1,,,,,1,1,1,,,,,,1,,,,,,,1,,,,,1,1,,,,1
R. chalybaea x 1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. megastigmatica x x 2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. stigmatica x x x x 4,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,
R. sp. BP01* x 1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
