"This table was copied by hand from Appendix 3 of 'Checklist of the ants (Hymenoptera, Formicidae) of the Solomon Islands and a new survey of Makira Island'. Guadalcanal, Makira, Malaupair, Rendova, Rennel, Russel, Tulagi and Ugi had different richness than given in the original table and they were recounted once or twice and not all total richness match the original values.																																							"
"species	Anuta	Bellona	Choiseul	Guadalcanal	Kolombangara	Makira	Malaita	Malaupaina	Matema	Mbanika	New Georgia	NEW GEORGIA IS.	NGGELA IS.	Nggela Sule	Nupani	OLU MALAU IS.	Ontong Java Is.	Owaraha	REEF IS.	Rendova	Rennell	Russell Is.	San Jorge	Santa Catalina	Santa Cruz	SANTA CRUZ IS.	Santa Isabel	Savo	Shortland	Sikaiana	Tikopia	Tulagi	Ugi	Vangunu	Vanikoro	Vella Lavella	SOLOMON IS.		"
"P. fuscula x 1																											1												1"
"P. isis x 1																											1												1"
"P. taki x 1						1																																	1"
"P. megacephala x x x x x x x x x 8	1			1			1		1								1		1		1					1											1		9"
"P. mendanai x 1																											1												1"
"P. nindi x x x x 4				1		1															1												1						4"
"P. oceanica		1		1		1	1	1								1					1				1	1	1						1						11"
"P. philemon x x x x x x x x 7				1		1	1	1								1									1	1											1		8"
"P. sexspinosa x x x x x x x x x x 10		1		1		1	1						1								1				1	1	1					1							10"
"P. fuscescens x x 2													1	1																									2"
"P. umbonata x x x x x x 6		1		1		1	1														1												1						6"
"P. sp. BP02* x 1						1																																	1"
"P. sp. BP09 x 1						1																																	1"
"P. sp. BP10 x 1						1																																	1"
"P. sp. BP11 x 1						1																																	1"
"P. sp. BP12* x 1						1																																	1"
"P. sp. BP13* x 1																					1																		1"
"Philidris																																							0"
"P. myrmecodiae x x x x x x x x x x x x x 13		1		1		1	1						1	1		1		1			1				1	1	1						1						13"
"Plagiolepis																																							0"
"P. alluaudi x 1				1																																			1"
"Platythyrea																																							0"
"P. parallela x x x 2																									1	1											1		3"
"P. sp. BP01* x 1																					1																		1"
"Podomyrma																																							0"
"P. salomo x x x x 4							1						1	1																		1							4"
"P. woodfordi x x 2								1								1																							2"
"Polyrhachis																																							0"
"P. andromache x 1						1																																	1"
"P. annae x x x x x x x x x x 10		1		1		1		1	1							1			1		1				1	1													10"
"P. acutinota x 1				1																																			1"
"P. argentea							1						1	1																							1		4"
"P. brunneipes x x 1		1					1																																2"
"P. campbelli x x 2						1																1																	2"
"P. dahlii x x x x x x x x x 8				1		1	1	1					1	1		1																1					1		9"
"P. emeryana x 1							1																																1"
"P. fulakora x x 2				1																							1												2"
"P. geminata x x x 3						1							1	1																									3"
"P. greensladei x x 2				1																								1											2"
"P. ithona x x 2																			1																				1"
"P. johnsoni x x x x 4								1				1				1				1																			4"
"P. kaipi x x x x 4	1					1	1																			1													4"
"P. litigiosa x x 2						1																					1												2"
"P. malaensis x 1							1																																1"
"P. nofra x 1						1																																	1"
"P. osae x x x x 3				1		1																											1				1		4"
"P. pacifica x 1				1																																			1"
"P. rere x x x 3	1			1																						1													3"
"P. salomo x x x x 3				1			1															1															1		4"
"P. santschii x x 2													1	1																									2"
"P. setosa x 1				1																																			1"
"P. similis x x x x x x x x x 9						1					1	1	1	1								1					1					1	1						9"
"P. ugiensis x x x 3						1										1																	1						3"
"P. ulysses x x x x 3													1	1																		1					1		4"
"P. undulata x x 2				1		1																																	2"
"P. wheeleri x x 2							1																				1												2"
"P. sp. BP01						1																																	1"
"P. sp. BP03 x 1																					1																		1"
"P. sp. BP04 x 1						1																																	1"
"Ponera																																							0"
"P. clavicornis x x x x x x x x x x x x 12			1	1		1	1					1	1	1					1	1	1						1	1											12"
"P. incerta x x x x x x x x 7				1		1						1	1												1	1	1										1		8"
"P. swezeyi x 1						1																																	1"
"P. szaboi x x 2		1																			1																		2"
"P. tenuis x 1				1																																			1"
"P. sp. BP01 x 1						1																																	1"
"P. sp. BP02 x 1						1																																	1"
"Prionopelta																																							0"
"P. majuscula x x x 3		1		1	1																																		3"
"P. opaca x x x x x x x x x x x 11		1		1	1	1					1	1	1								1							1	1							1			11"
"Pristomyrmex																																							0"
"P. levigatus x x x 3						1																			1	1													3"
"P. obesus x x x x x x x x x x 10				1		1	1	1			1	1				1									1	1	1												10"
"Probolomyrmex																																							0"
"P. salomonis x x x 2				1		1																															1		3"
"Proceratium																																							0"
"P. austronesicum x 1						1																																	1"
"P. papuanum x x x x 4																			1			1			1	1													4"
"Rhytidoponera																																							0"
"R. araneoides x x x x x x x x x x x 10				1		1	1					1	1	1						1							1					1	1				1		11"
"R. chalybaea x 1				1																																			1"
"Rogeria																																							0"
"R. megastigmatica x x 2				1		1																																	2"
"R. stigmatica x x x x 4		1																			1						1						1						4"
"R. sp. BP01* x 1						1																																	1"
"Romblonella																																							0"
"R. elysii x x x x x 5								1					1	1		1		1																					5"
"Solenopsis																																							0"
"S. geminata x 1				1																																			1"
"S. papuana x 1						1																																	1"
"S. pawaensis x x x 3						1																					1						1						3"
"Stereomyrmex																																							0"
"S. dispar x 1		1																																					1"
"Stigmatomma																																							0"
"S. celata x x x x x x x x x x x 10				1		1	1				1	1	1	1							1						1					1					1		11"
"S. gnoma x 1				1																																			1"
"Strumigenys																																							0"
"S. chyzeri x x x x x x x x x 9				1	1	1	1				1	1															1						1			1			9"
"S. decollata x 1																											1												1"
"S. emmae x x x x x x 6		1		1							1	1								1	1																		6"
"S. eurycera x x x x x 5				1							1	1	1							1																			5"
"S. frivaldszkyi x x 2						1															1																		2"
"S. godeffroyi x x x x x x x x x x x x 11				1		1	1	1								1					1	1			1	1	1						1				1		12"
"S. karawajewi x x x x x x 5		1		1		1													1							1											1		6"
"S. membranifera x x x x 4				1		1																			1	1													4"
"S. mocsaryi x x x x 4				1								1	1																							1			4"
"S. rogeri				1																																			1"
"S. szalayi x x x x x 5				1		1					1	1								1																			5"
"S. undras x 1				1																																			1"
"S. yaleopleura x x x x x 5			1								1	1															1							1					5"
"S. sp. BP05 x 1						1																																	1"
"S. sp. BP06 x 1						1																																	1"
"Tapinoma																																							0"
"T. melanocephalum x x x x x x x x x 9	1		1	1		1	1						1								1	1				1													9"
"T. minutum x 0																																					1		1"
"T. timidum x 1				1																																			1"
"Technomyrmex																																							0"
"T. albipes x x x x x x x x x x x x x 12			1	1	1	1	1				1	1	1							1	1						1						1				1		13"
"T. vitiensis x x 2				1		1																																	2"
"T. sp. BP01 x 1						1																																	1"
"Tetramorium																																							0"
"T. antennatum x x 2																									1	1													2"
"T. aspersum x x x x x x x 7						1	1				1	1										1	1				1												7"
"T. bicarinatum x x x x x x x 7	1			1			1									1					1				1	1													7"
"T. carinatum x x x x x x x x x 9						1	1	1					1	1		1						1					1					1							9"
"T. insolens x x x x x x 6		1				1	1	1								1																	1						6"
"T. lanuginosum x x 2																					1												1						2"
"T. mayri x 1						1																																	1"
"T. melanogyna x x x x 4						1		1								1																	1						4"
"T. mutatum x 1							1																																1"
"T. pacificum x x 2		1																			1																		2"
"T. salomo				1		1	1																																3"
"T. simillimum x x x x 4				1		1											1				1																		4"
"T. tonganum x x x x x 5				1		1						1								1	1																		5"
"T. vombis x 1																																	1						1"
"Tetraponera																																							0"
"T. laeviceps x x x 3				1									1														1												3"
"Turneria																																							0"
"T. dahlii x x x x 4		1		1			1														1																		4"
"T. pacifica x x x 3						1																			1	1													3"
"Vollenhovia																																							0"
"V. dentata x x x 2						1																											1				1		4"
"V. marginata x x x 2							1																										1				1		3"
"V. elysii x x x 2								1								1																					1		3"
"V. foveaceps x x 1																											1										1		2"
"V. loboii x x 1							1																														1		2"
"V. oblonga x x x x x x 6						1	1														1				1	1	1												6"
"V. pedestris x x x x x x x 7				1		1	1											1							1	1	1												7"
"V. subtilis x x 2						1	1																																2"
"V. sp. BP01* x 1						1																																	1"
"V. sp. BP02* x 1						1																																	1"
"V. sp. BP03* x 1																					1																		1"
"Wasmannia																																							0"
"W. auropunctata						1																																	1"
"total	8	32	11	107	17	142	71	29	7	2	18	40	43	28	4	35	4	8	10	16	66	18	2	4	32	37	68	12	2	1	1	21	38	3	2	7	60		1006"
"	8	32	11	106	17	142	71	30	7	2	18	40	43	28	4	35	4	8	10	16	65	19	2	4	32	37	68	12	2	1	1	21	38	3	2	7	60		"
"				counted		counted		counted													counted	counted										counted	counted						"
"				counted				counted												counted	counted	counted																	"
