"Mix of several Tabula extractions, some saved, some copy pasted because more complete than the whole document extraction.",,,,,,,,,,,,,,,,,,,,
species,Allegheny,Chemung,Susquehanna,Delaware,Erie-Niagara,Genesee,Lake Ontario,Oswego,Black,Oswegatchie,Raquette,St. Lawrence,St. Lawrence Canada,Lake Champlain,Upper Hudson,Mohawk,Lower Hudson,Newark Bay,Long Island,
Lepomis auritus redbreast sunfish,,123,123,123,,,,,,,123,,,123,123,123,123,123,12,
Lepomis cyanellus green sunfish,3,123,2,23,23,3,23,3,,,,3,,,,23,123,3,,
Lepomis gibbosus pumpkinseed,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Lepomis gulosus warmouth,,,,,,,,,,,,,,,,,123,,,
Lepomis macrochirus bluegill,123,123,123,123,123,123,123,123,23,123,23,23,2,123,123,123,123,123,123,
Lepomis megalotis longear sunfish,,,,,23,,123,12,,,,,,,,,,,,
Micropterus dolomieu smallmouth bass,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Micropterus salmoides largemouth bass,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Pomoxis annularis white crappie,123,23,23,23,123,23,12,23,,2,,,,,23,123,123,,12,
Pomoxis nigromaculatus black crappie,123,123,123,123,123,123,123,123,23,123,23,123,23,123,123,123,123,3,123,
Ammocrypta pellucida eastern sand darter,,,,,13,,,,,,,13,13,23,,,,,,
Etheostoma blennioides greenside darter,123,,3,,123,123,123,123,,,,,,,,123,2,,,
Etheostoma caeruleum rainbow darter,123,,,,123,23,123,,,,,,,,,,,,,
Etheostoma camurum bluebreast darter,23,,,,,,,,,,,,,,,,,,,
Etheostoma exile Iowa darter,12,,,,123,2,123,12,,13,3,123,13,1,,,,,,
Etheostoma flabellare fantail dater,123,123,23,,123,123,123,123,123,123,123,123,123,123,23,123,2,,,
Etheostoma fusiforme swamp darter,,,,,,,,,,,,,,,,,,,123,
Etheostoma maculatum spotted darter,123,,,,,,,,,,,,,,,,,,,
Etheostoma nigrum johnny dater,123,12,,,123,123,123,,,3,23,123,23,123,,,,,,
Etheostoma olmstedi tessellated darter,,123,123,123,,23,123,123,123,123,123,123,123,123,123,123,123,123,123,
Etheostoma variatum variegate darter,123,,,,,,,,,,,,,,,,,,,
Etheostoma zonale banded darter,123,23,23,,,2,,,,,,,,,,,,,,
Perca flavescens yellow perch,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
Percina caprodes logperch,123,,,,123,123,123,123,123,123,123,123,123,123,123,123,123,,,
Percina copelandi channel darter,3,,,,123,,,,,13,13,13,13,123,,,,,,
Percina evides gilt darter,1,,,,,,,,,,,,,,,,,,,
Percina macrocephala longhead darter,123,,,,,,,,,,,,,,,,,,,
Percina maculata blackside darter,123,,,,123,123,123,123,,,,,,,,,,,,
Percina peltata shield darter,,123,123,123,,,,,,,,,,,,,123,,,
Sander canadense sauger,,,,,123,,2,1,,,,1,,123,,,,,,
Sander vitreus vitreus walleye,123,123,123,123,123,123,123,123,123,123,123,123,123,123,12,123,123,3,123,
Sander vitreus glaucum blue pike,,,,,12,,12,1 m,,,,,,,,,,,,
Aplodinotus grunniens freshwater drum,,,,,123,123,123,123,,,,23,,12,,3,23,,,
Neogobius melanostomus round goby,,,,,3,,3,,,,,,,,,,,,,
