extracted with tabula (autodeection of tables works better,,,,,,,,,,,,,
species,common name,1947-1962;Lower Kansas River Basin,1963-1977;Lower Kansas River Basin,1978-1990;Lower Kansas River Basin,1991-2003;Lower Kansas River Basin,1947-1962;Smoky Hill,1963-1977;Smoky Hill,1978-1990;Smoky Hill,1991-2003;Smoky Hill,1947-1962;Arkansas Basin,1963-1977;Arkansas Basin,1978-1990;Arkansas Basin,1991-2003;Arkansas Basin
Percina caprodes,"LogperchINTRO(SH,ARK)",7.6,15.4,17.4,14,0,0,0,2.7,2.9,0,0,1.1
Percina copelandi,Channel darter,"0
","0
","0
","0
","0
","0
","0
","0
",0,0,0,0.5
Percina maculata,Blackside darter,0a,7.7b,1.4a,0.5a,"0
","0
","0
","0
","0
","0
","0
","0
"
Percina phoxocephala,Slenderhead darter,0,0,0,0.9,"0
","0
","0
","0
",5.9,8.7,1.4,14.3
Phenacobius mirabilis,Suckermouth minnow,34.2a,32.7a,39.1a,68.5b,31.8,38.5,26.9,34.7,38.2,39.1,32.4,54.1
Phoxinus erythrogaster,Southern redbelly dace,15.2,19.2,14.5,10.8,"0
","0
","0
","0
",0,0,5.6,0.8
Pimephales notatus,Bluntnose minnow,31.6a,53.8b,58b,72.1b,9.1,15.4,11.5,9.5,"11.8a,b",17.4a,1.4b,"8.9a,b"
Pimephales promelas,Fathead minnow,53.2a,30.8b,37.7b,63.1a,95.5a,"84.6a,b",57.7b,"87.8a,b",70.6,60.9,70.4,66.2
Pimephales tenellus,Slim minnow,"0
","0
","0
","0
","0
","0
","0
","0
",0,0,1.4,0
Pimephales vigilax,Bullhead minnow,0.0a,1.9b,27.5c,11.7d,0,0,0,2,8.8a,30.4b,"14.1a,b","28.1a,b"
Platygobio gracilis,Flathead chub,13.9a,1.9b,0.0b,0.0b,"0
","0
","0
","0
",11.8a,0.0b,0.0b,"0.3a,b"
Polyodon spathula,Paddlefish,0,1.9,0,0,"0
","0
","0
","0
","0
","0
","0
","0
"
Pomoxis annularis,"White crappieINTRO(SH,",17.7,25,24.6,17.1,0,7.7,11.5,8.8,2.9,13,9.9,20.3
Pomoxis nigromaculatus,Black crappie,1.3,3.8,5.8,1.8,4.5,0,3.8,2,0,4.3,0,4.3
Pylodictis olivaris,Flathead catfish,7.6,11.5,17.4,14.9,0,0,3.8,21.1,2.9a,17.4b,1.4a,33.2b
Sander canadensis,Sauger,"0
","0
","0
","0
","0
","0
","0
","0
",0,0,0,0.3
Sander vitreus,"WalleyeINTRO(SH,ARK)",0,0,1.4,2.7,0,0,0,0.7,0,0,0,3
Scaphirhynchus albus,Pallid sturgeon,2.5,0,0,0,"0
","0
","0
","0
","0
","0
","0
","0
"
Scaphirhynchus platorynchus,Shovelnose sturgeon,"3.8a,b",5.8a,4.3a,0.0b,"0
","0
","0
","0
","0
","0
","0
","0
"
Semotilus atromaculatus,Creek chub,39.2a,42.3a,43.5a,68.9b,59.1,53.8,46.2,60.5,"0
","0
","0
","0
"
