aggregated from the Excel ffiile attached to the article																				
Family	Genus	species	SpeciesNo	Mc	Na	Yo	Ch	An	Ot	Ni	Hg	Mi	Hy	Ha	Hi	Mk	Ae	Me	Im	period
Bradybaenidae	Mandarina	sp4	72	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Bradybaenidae	Mandarina	sp5	73	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Bradybaenidae	Mandarina	trifasciata	74	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	historical
Bradybaenidae	Mandarina	conus	75	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	historical
Euconulidae	Nipponochlamys	lineolatus	76	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	nitida	77	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	ogasawarana	78	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	historical
Helicinidae	Ogasawarana	yoshiwarana	79	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	arata	80	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	hirasei	81	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	metamorpha	82	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	habei	83	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Helicinidae	Ogasawarana	obtsusa	84	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Helicinidae	Ogasawarana	sp1	85	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Helicinidae	Ogasawarana	sp.2	86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Helicinidae	Ogasawarana	sp.3	87	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	historical
Assimineidae	Paludinella	sp1	88	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Assimineidae	Paludinella	sp2	89	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Assimineidae	Paludinella	sp1	90	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
Assimineidae	Paludinella	sp2	91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	historical
